pr_id,total_commits,ai_commits,human_commits,ai_commits_percentage,total_comments,ai_comments,human_comments,ai_comments_percentage,total_reviews,ai_reviews,human_reviews,ai_reviews_percentage,time_to_merge_hours,has_related_issue,has_ai_involvement,is_merged
3275149041,4,0,4,0.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3275367954,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3275448809,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3275455685,7,5,2,71.42857142857143,1,0,1,0.0,5,0,5,0.0,,False,True,False
3275609390,1,0,1,0.0,4,4,0,100.0,1,0,1,0.0,,False,True,False
3276585540,3,0,3,0.0,2,1,1,50.0,0,0,0,0.0,,False,True,False
3276605733,6,1,5,16.666666666666664,0,0,0,0.0,4,0,4,0.0,,False,True,False
3253582273,1,1,0,100.0,2,1,1,50.0,0,0,0,0.0,,True,True,False
3254261062,4,0,4,0.0,6,3,3,50.0,9,8,1,88.88888888888889,,False,True,False
3254644542,30,0,30,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3254647682,1,0,1,0.0,2,0,2,0.0,0,0,0,0.0,,False,False,False
3254649795,2,0,2,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3255142482,1,0,1,0.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3196885081,2,0,2,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3197344409,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3197436829,2,0,2,0.0,8,5,3,62.5,1,1,0,100.0,,False,True,False
3197484474,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3197644488,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3166199077,4,0,4,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3166521009,17,0,17,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3166710563,12,0,12,0.0,2,0,2,0.0,0,0,0,0.0,,False,False,False
3166880168,2,0,2,0.0,4,4,0,100.0,0,0,0,0.0,,False,True,False
3167450477,9,1,8,11.11111111111111,5,5,0,100.0,10,1,9,10.0,,False,True,False
3168125372,2,0,2,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3168142663,16,0,16,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3147421099,8,0,8,0.0,1,1,0,100.0,4,1,3,25.0,,False,True,False
3147721605,2,0,2,0.0,2,0,2,0.0,0,0,0,0.0,,True,False,False
3150229181,1,0,1,0.0,2,0,2,0.0,2,2,0,100.0,,False,True,False
3150240545,8,0,8,0.0,0,0,0,0.0,1,1,0,100.0,,True,True,False
3150393125,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3151360963,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3207894445,1,0,1,0.0,3,2,1,66.66666666666666,0,0,0,0.0,,False,True,False
3207905993,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3207910026,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3207914894,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3207921071,3,0,3,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3208559377,8,0,8,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3208990831,6,0,6,0.0,2,2,0,100.0,0,0,0,0.0,,False,True,False
3209373025,3,0,3,0.0,2,2,0,100.0,0,0,0,0.0,,False,True,False
3209723205,20,0,20,0.0,2,0,2,0.0,1,1,0,100.0,,True,True,False
3210688776,1,0,1,0.0,2,2,0,100.0,1,1,0,100.0,,False,True,False
3210837112,2,0,2,0.0,2,2,0,100.0,1,0,1,0.0,,False,True,False
3211505201,1,1,0,100.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3212206965,4,0,4,0.0,3,2,1,66.66666666666666,1,1,0,100.0,,False,True,False
3212218608,2,0,2,0.0,11,0,11,0.0,2,0,2,0.0,,True,False,False
3212306696,1,0,1,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3184725856,5,0,5,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3184850059,2,0,2,0.0,1,1,0,100.0,1,1,0,100.0,,False,True,False
3185547207,6,0,6,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3185859728,7,0,7,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3118662815,8,0,8,0.0,4,2,2,50.0,1,1,0,100.0,,False,True,False
3119417980,1,0,1,0.0,1,1,0,100.0,2,1,1,50.0,,False,True,False
3119750112,5,0,5,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3120774449,1,0,1,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3120813048,2,0,2,0.0,3,1,2,33.33333333333333,0,0,0,0.0,,False,True,False
3124189482,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3124293906,3,0,3,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3124372773,5,0,5,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3124595999,3,0,3,0.0,1,0,1,0.0,8,0,8,0.0,,False,False,False
3105926969,30,0,30,0.0,1,0,1,0.0,3,2,1,66.66666666666666,,False,True,False
3234650797,2,0,2,0.0,1,1,0,100.0,0,0,0,0.0,,False,True,False
3234660269,30,0,30,0.0,1,0,1,0.0,2,0,2,0.0,,False,False,False
3235103212,8,0,8,0.0,2,2,0,100.0,7,0,7,0.0,,False,True,False
3235395709,1,0,1,0.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3235659006,4,0,4,0.0,2,2,0,100.0,0,0,0,0.0,,False,True,False
3235820229,14,2,12,14.285714285714285,3,3,0,100.0,0,0,0,0.0,,False,True,False
3237343612,10,0,10,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3222268735,2,0,2,0.0,8,8,0,100.0,0,0,0,0.0,,False,True,False
3223177403,2,0,2,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3223924413,1,0,1,0.0,2,2,0,100.0,2,0,2,0.0,,False,True,False
3224085262,8,0,8,0.0,1,0,1,0.0,8,0,8,0.0,,True,False,False
